Messier number,NGC/IC number,Common name,Image,Image small,Object type,Distance (kly),Constellation,Apparent magnitude,Apparent dimensions,Right ascension,Declination
M92,NGC 6341,,static/images/m92.jpg,static/images/m92_small.jpg,Globular cluster,26.7,Hercules,6.4,14',17h 17m 07.39s,+43° 08′ 09.4″
M93,NGC 2447,Critter Cluster,static/images/m93.jpg,static/images/m93_small.jpg,Open cluster,3.6,Puppis,6.0,10',07h 44.6m,−23° 52′
M94,NGC 4736,Crocodile Eye or ''Cat's Eye Galaxy'',static/images/m94.jpg,static/images/m94_small.jpg,Spiral galaxy,"14,700–17,300",Canes Venatici,8.2,11.2' × 9.1',12h 50m 53.1s,+41° 07′ 14″
M95,NGC 3351,,static/images/m95.jpg,static/images/m95_small.jpg,Barred Spiral galaxy,"31,200–34,000",Leo,9.7,3.1' × 2.9',10h 43m 57.7s,+11° 42′ 14″
M96,NGC 3368,,static/images/m96.jpg,static/images/m96_small.jpg,Spiral galaxy,"28,000–34,000",Leo,9.2,7.6' × 5.2',10h 46m 45.7s,+11° 49′ 12″
M97,NGC 3587,Owl Nebula,static/images/m97.jpg,static/images/m97_small.jpg,Planetary nebula,2.03,Ursa Major,9.9,3.4' × 3.3',11h 14m 47.734s,+55° 01′ 08.50″
M98,NGC 4192,,static/images/m98.jpg,static/images/m98_small.jpg,Spiral galaxy,"44,400",Coma Berenices,10.1,9.8' × 2.8',12h 13m 48.292s,+14° 54′ 01.69″
M99,NGC 4254,''St. Catherine's Wheel'',static/images/m99.jpg,static/images/m99_small.jpg,Spiral galaxy,"44,700–55,700",Coma Berenices,9.9,5.4' × 4.7',12h 18m 49.6s,+14° 24′ 59″
M100,NGC 4321,Mirror Galaxy,static/images/m100.jpg,static/images/m100_small.jpg,Spiral galaxy,"55,000",Coma Berenices,9.3,7.4' × 6.3',12h 22m 54.9s,+15° 49′ 21″
M101,NGC 5457,Pinwheel Galaxy,static/images/m101.jpg,static/images/m101_small.jpg,Spiral galaxy,"19,100–22,400",Ursa Major,7.9,28.8' × 26.9',14h 03m 12.6s,+54° 20′ 57″
M102,NGC 5866,Spindle Galaxy,static/images/m102.jpg,static/images/m102_small.jpg,Lenticular galaxy,"50,000",Draco,9.9,4.7' x 1.9',15h 06m 29.5s,+55° 45′ 48″
M103,NGC 581,,static/images/m103.jpg,static/images/m103_small.jpg,Open cluster,10,Cassiopeia,7.4,6',01h 33.2m,+60° 42′
M104,NGC 4594,Sombrero Galaxy,static/images/m104.jpg,static/images/m104_small.jpg,Spiral galaxy,"28,700–30,900",Virgo,8.0,9' x 4',12h 39m 59.4s,−11° 37′ 23″
M105,NGC 3379,,static/images/m105.jpg,static/images/m105_small.jpg,Elliptical galaxy,"30,400–33,600",Leo,9.3,5.4' × 4.8',10h 47m 49.6s,+12° 34′ 54″
M106,NGC 4258,,static/images/m106.jpg,static/images/m106_small.jpg,Spiral galaxy,"22,200–25,200",Canes Venatici,8.4,18.6' × 7.2',12h 18m 57.5s,+47° 18′ 14″
M107,NGC 6171,Crucifix Cluster,static/images/m107.jpg,static/images/m107_small.jpg,Globular cluster,20.9,Ophiuchus,7.9,10',16h 32m 31.86s,−13° 03′ 13.6″
M108,NGC 3556,Surfboard Galaxy,static/images/m108.jpg,static/images/m108_small.jpg,Barred Spiral galaxy,"46,000",Ursa Major,10.0,8.7' × 2.2',11h 11m 31.0s,+55° 40′ 27″
M109,NGC 3992,Vacuum Cleaner Galaxy,static/images/m109.jpg,static/images/m109_small.jpg,Barred Spiral galaxy,"59,500–107,500",Ursa Major,9.8,7.6' × 4.7',11h 57m 36.0s,+53° 22′ 28″
M110,NGC 205,,static/images/m110.jpg,static/images/m110_small.jpg,Dwarf elliptical galaxy,"2,600–2,780",Andromeda,8.5,21.9' × 11.0',00h 40m 22.1s,+41° 41′ 07″
